food_code,category
22706010,Pork
22707010,Pork
22707020,Pork
22708010,Pork
22708020,Pork
22709010,Pork
22810010,Baby food: meat and dinners
22820000,Baby food: meat and dinners
23000100,"Lamb, goat, game"
23101000,"Lamb, goat, game"
23132000,"Lamb, goat, game"
23150100,"Lamb, goat, game"
23201010,"Beef, excludes ground"
23220010,Ground beef
23220020,"Beef, excludes ground"
23310000,"Lamb, goat, game"
23321000,"Lamb, goat, game"
23321200,"Lamb, goat, game"
23321900,Cold cuts and cured meats
23322100,Cold cuts and cured meats
23323100,"Lamb, goat, game"
23323500,"Lamb, goat, game"
23324100,"Lamb, goat, game"
23326100,"Lamb, goat, game"
23331100,"Lamb, goat, game"
23332100,"Lamb, goat, game"
23333100,"Lamb, goat, game"
23334100,"Lamb, goat, game"
23335100,"Lamb, goat, game"
23340100,"Lamb, goat, game"
23345100,"Lamb, goat, game"
23350100,"Turkey, duck, other poultry"
24100000,"Chicken, whole pieces"
24100010,"Chicken, whole pieces"
24100020,"Chicken, whole pieces"
24102000,"Chicken, whole pieces"
24102010,"Chicken, whole pieces"
24102020,"Chicken, whole pieces"
24102050,"Chicken, whole pieces"
24102060,"Chicken, whole pieces"
24102070,"Chicken, whole pieces"
24103000,"Chicken, whole pieces"
24103010,"Chicken, whole pieces"
24103020,"Chicken, whole pieces"
24103050,"Chicken, whole pieces"
24103055,"Chicken, whole pieces"
24103060,"Chicken, whole pieces"
24103070,"Chicken, whole pieces"
24103075,"Chicken, whole pieces"
24103080,"Chicken, whole pieces"
24104049,"Chicken, whole pieces"
24104051,"Chicken, whole pieces"
24107070,"Chicken, whole pieces"
24107071,"Chicken, whole pieces"
24107080,"Chicken, whole pieces"
24107081,"Chicken, whole pieces"
24120110,"Chicken, whole pieces"
24120120,"Chicken, whole pieces"
24122130,"Chicken, whole pieces"
24122131,"Chicken, whole pieces"
24122140,"Chicken, whole pieces"
24122141,"Chicken, whole pieces"
24122150,"Chicken, whole pieces"
24122151,"Chicken, whole pieces"
24122160,"Chicken, whole pieces"
24122161,"Chicken, whole pieces"
24122170,"Chicken, whole pieces"
24122171,"Chicken, whole pieces"
24123110,"Chicken, whole pieces"
24123120,"Chicken, whole pieces"
24123300,"Chicken, whole pieces"
24123301,"Chicken, whole pieces"
24123310,"Chicken, whole pieces"
24123311,"Chicken, whole pieces"
24124200,"Chicken, whole pieces"
24124201,"Chicken, whole pieces"
24127200,"Chicken, whole pieces"
24127201,"Chicken, whole pieces"
24127202,"Chicken, whole pieces"
24127210,"Chicken, whole pieces"
24127211,"Chicken, whole pieces"
24127220,"Chicken, whole pieces"
24127221,"Chicken, whole pieces"
24127500,"Chicken, whole pieces"
24127501,"Chicken, whole pieces"
24130210,"Chicken, whole pieces"
24130220,"Chicken, whole pieces"
24132230,"Chicken, whole pieces"
24132231,"Chicken, whole pieces"
24132240,"Chicken, whole pieces"
24132241,"Chicken, whole pieces"
24133210,"Chicken, whole pieces"
24133220,"Chicken, whole pieces"
24134100,"Chicken, whole pieces"
24134101,"Chicken, whole pieces"
24134150,"Chicken, whole pieces"
24134151,"Chicken, whole pieces"
24134300,"Chicken, whole pieces"
24134301,"Chicken, whole pieces"
24137300,"Chicken, whole pieces"
24137301,"Chicken, whole pieces"
24137310,"Chicken, whole pieces"
24137311,"Chicken, whole pieces"
24140210,"Chicken, whole pieces"
24140220,"Chicken, whole pieces"
24142300,"Chicken, whole pieces"
24142301,"Chicken, whole pieces"
24142310,"Chicken, whole pieces"
24142311,"Chicken, whole pieces"
24142320,"Chicken, whole pieces"
24142321,"Chicken, whole pieces"
24142400,"Chicken, whole pieces"
24142401,"Chicken, whole pieces"
24142500,"Chicken, whole pieces"
24142501,"Chicken, whole pieces"
24142510,"Chicken, whole pieces"
24142511,"Chicken, whole pieces"
24143210,"Chicken, whole pieces"
24143220,"Chicken, whole pieces"
24144300,"Chicken, whole pieces"
24144301,"Chicken, whole pieces"
24147300,"Chicken, whole pieces"
24147301,"Chicken, whole pieces"
24147302,"Chicken, whole pieces"
24147310,"Chicken, whole pieces"
24147311,"Chicken, whole pieces"
24147320,"Chicken, whole pieces"
24147321,"Chicken, whole pieces"
24147400,"Chicken, whole pieces"
24147401,"Chicken, whole pieces"
24150210,"Chicken, whole pieces"
24150220,"Chicken, whole pieces"
24152230,"Chicken, whole pieces"
24152231,"Chicken, whole pieces"
24152240,"Chicken, whole pieces"
24152241,"Chicken, whole pieces"
24152250,"Chicken, whole pieces"
24152251,"Chicken, whole pieces"
24152300,"Chicken, whole pieces"
24152301,"Chicken, whole pieces"
24153210,"Chicken, whole pieces"
24153220,"Chicken, whole pieces"
24154010,"Chicken, whole pieces"
24154011,"Chicken, whole pieces"
24154020,"Chicken, whole pieces"
24154021,"Chicken, whole pieces"
24154300,"Chicken, whole pieces"
24154301,"Chicken, whole pieces"
24157300,"Chicken, whole pieces"
24157301,"Chicken, whole pieces"
24157302,"Chicken, whole pieces"
24157310,"Chicken, whole pieces"
24157311,"Chicken, whole pieces"
24157320,"Chicken, whole pieces"
24157321,"Chicken, whole pieces"
24157330,"Chicken, whole pieces"
24157331,"Chicken, whole pieces"
24157400,"Chicken, whole pieces"
24157401,"Chicken, whole pieces"
24160110,"Chicken, whole pieces"
24162130,"Chicken, whole pieces"
24162140,"Chicken, whole pieces"
24162150,"Chicken, whole pieces"
24162200,"Chicken, whole pieces"
24163110,"Chicken, whole pieces"
24164000,"Chicken, whole pieces"
24164010,"Chicken, whole pieces"
24164200,"Chicken, whole pieces"
24167200,"Chicken, whole pieces"
24167210,"Chicken, whole pieces"
24167220,"Chicken, whole pieces"
24167230,"Chicken, whole pieces"
24167300,"Chicken, whole pieces"
24168000,"Chicken, whole pieces"
24168001,"Chicken, whole pieces"
24168002,"Chicken, whole pieces"
24168010,"Chicken, whole pieces"
24168011,"Chicken, whole pieces"
24168012,"Chicken, whole pieces"
24168020,"Chicken, whole pieces"
24168021,"Chicken, whole pieces"
24168022,"Chicken, whole pieces"
24168030,"Chicken, whole pieces"
24168031,"Chicken, whole pieces"
24170200,"Chicken, whole pieces"
24180200,"Chicken, whole pieces"
24198340,"Chicken, whole pieces"
24198440,"Chicken, whole pieces"
24198500,"Chicken, whole pieces"
24198570,"Chicken, whole pieces"
24198670,"Chicken, whole pieces"
24198671,"Chicken patties, nuggets and tenders"
24198677,"Chicken patties, nuggets and tenders"
24198683,"Chicken patties, nuggets and tenders"
